Season,Name,Team,IP,ERA,K/BB,AVG,WHIP,BABIP,FIP,LD%,GB%,FB%,IFFB%,HR/FB,xFIP,SwStr%,K%,BB%,K-BB%,SIERA,E-F,FA-Z (sc),Barrel%,HardHit%,xERA,Stf+ FA,Stuff+,Location+,Pitching+,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,CStr%,CSW%,NameASCII,PlayerId,MLBAMID
2024,Tarik Skubal,DET,155.1,2.491416391,5.60606061,0.195462478,0.933476425,0.264,2.66310503,0.184415584,0.457142857,0.358441558,0.130434782,0.094202898,2.918157724,0.14459401,0.30130293,0.05374593,0.247557,2.973721285,-0.171688639,9.612779736,0.06701031,0.34020619,,111.8865358,103.5356514,102.7382476,106.2228095,0.35220649,0.68210718,0.50999131,0.57210402,0.7976032,0.71635434,0.47827976,0.18019974,0.32479375,Tarik Skubal,22267,669373
2022,Aaron Ashby,MIL,88,4.806818599,2.51219512,0.25,1.454545581,0.313043478,4.521522033,0.157676348,0.547717842,0.294605809,0.056338028,0.211267605,3.500001804,0.12070084,0.26208651,0.1043257,0.15776081,3.720162231,0.285296566,7.766980307,0.07755102,0.35102041,,35.3,107.0342635,96.80876055,100.5530175,0.32502831,0.57686454,0.43246753,0.54355401,0.85488127,0.72072072,0.42662338,0.20311486,0.3238157,Aaron Ashby,23550,676879
2022,Aaron Nola,PHI,205,3.248780488,8.10344828,0.21846554,0.96097561,0.289320388,2.580723685,0.198863636,0.43560606,0.365530303,0.062176165,0.098445595,2.76955927,0.12635735,0.29120198,0.03593556,0.25526642,2.802456815,0.668056803,8.803620497,0.07116105,0.3164794,,102.4120197,103.8264232,109.358868,107.9052649,0.37022016,0.65422696,0.4929253,0.60406886,0.84749709,0.74365821,0.43205002,0.19743337,0.32379072,Aaron Nola,16149,605400
2021,Alex Wood,SFG,138.2,3.829327204,3.8974359,0.235849057,1.182692394,0.304945055,3.480130299,0.22459893,0.50802139,0.267379679,0.05,0.14,3.44000683,0.12482916,0.25982906,0.06666667,0.19316239,3.602516819,0.349196905,,0.05291005,0.4047619,,,105.7214286,100.9153525,100.0718924,0.32178218,0.65106816,0.46924829,0.57692308,0.8296875,0.73398058,0.44783599,0.1977221,0.32255125,Alex Wood,13781,622072
2022,Corbin Burnes,MIL,202,2.940594059,4.76470588,0.196452933,0.965346535,0.259100642,3.137183477,0.195071868,0.470225872,0.334702258,0.110429447,0.141104294,2.851540966,0.15088577,0.30489335,0.06398996,0.24090339,2.91118475,-0.196589418,9.549942017,0.05714286,0.34081633,,90.825,135.9135086,102.3094743,107.4386308,0.35700847,0.65418118,0.46120953,0.51383399,0.83355526,0.67284768,0.35064142,0.17043372,0.32131949,Corbin Burnes,19361,669203
2021,Gerrit Cole,NYY,181.1,3.226103032,5.92682927,0.221083455,1.058823559,0.305288462,2.921872351,0.164009111,0.430523917,0.40546697,0.095505617,0.13483146,2.933213115,0.14516672,0.33471074,0.05647383,0.27823691,2.933583572,0.304230681,10.49257813,0.09772727,0.38636364,,151.2047143,137.3826703,104.0586986,112.5754552,0.35399768,0.67578439,0.48871674,0.57446809,0.79642857,0.70296347,0.41865948,0.17581677,0.3209835,Gerrit Cole,13125,543037
2022,Gerrit Cole,NYY,200.2,3.498339048,5.14,0.20782726,1.016611347,0.268292683,3.466251618,0.169772256,0.424430641,0.405797101,0.076530612,0.168367346,2.774320037,0.14294441,0.32408575,0.0630517,0.26103405,2.773347326,0.03208743,10.8334173,0.09504132,0.39876033,,156.6723793,139.1322433,102.2717604,110.0223411,0.34879032,0.68139535,0.47984117,0.54768786,0.82366325,0.70210057,0.39401344,0.17593158,0.31887599,Gerrit Cole,13125,543037
2024,Blake Snell,SFG,76,3.671052632,3.36666667,0.189090909,1.078947368,0.273809524,2.757356232,0.168604651,0.412790697,0.418604651,0.111111111,0.083333333,3.163201888,0.15925059,0.33006536,0.09803922,0.23202614,3.23209829,0.913696399,10.94259243,0.05747126,0.29310345,,109.9008518,120.0621094,96.86539063,102.8477344,0.33614458,0.67333333,0.4546875,0.50537634,0.78217822,0.64948454,0.3515625,0.15846995,0.31772053,Blake Snell,13543,605483
2024,Jack Flaherty,- - -,129,3.000000089,6.75,0.219008264,1.007751968,0.287128713,3.219514536,0.225,0.409375,0.365625,0.102564102,0.162393162,2.675886136,0.13894231,0.31640625,0.046875,0.26953125,2.785570944,-0.219514448,8.909971325,0.07763975,0.35403727,,94.66017831,95.76774647,104.461889,103.7797351,0.33740831,0.70231959,0.47878183,0.54347826,0.83486239,0.70907195,0.38741887,0.17692308,0.31586538,Jack Flaherty,17479,656427
2021,Max Scherzer,- - -,179.1,2.459107876,6.55555556,0.183925811,0.864312292,0.24742268,2.974866831,0.182266009,0.334975369,0.48275862,0.096938775,0.117346938,3.235916895,0.15880893,0.34054834,0.05194805,0.28860029,2.901709906,-0.515758954,9.319316414,0.08029197,0.34306569,,118.4460015,109.742018,103.3347862,104.3742199,0.33688833,0.7196414,0.5033676,0.51582868,0.78708947,0.68450704,0.43495214,0.15703651,0.31584544,Max Scherzer,3137,453286
