Season,Name,Team,IP,ERA,K/BB,AVG,WHIP,BABIP,LOB%,FIP,LD%,GB%,FB%,IFFB%,HR/FB,xFIP,SwStr%,K%,BB%,K-BB%,SIERA,E-F,FA-Z (sc),Barrel%,HardHit%,xERA,Stf+ FA,Stuff+,Location+,Pitching+,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,CStr%,CSW%,NameASCII,PlayerId,MLBAMID
2021,Gerrit Cole,NYY,181.1,3.226103032,5.92682927,0.221083455,1.058823559,0.305288462,0.77930175,2.921872351,0.164009111,0.430523917,0.40546697,0.095505617,0.13483146,2.933213115,0.14516672,0.33471074,0.05647383,0.27823691,2.933583572,0.304230681,10.49257813,0.09772727,0.38636364,,151.2047143,137.3826703,104.0586986,112.5754552,0.35399768,0.67578439,0.48871674,0.57446809,0.79642857,0.70296347,0.41865948,0.17581677,0.3209835,Gerrit Cole,13125,543037
2020,Zack Greinke,HOU,67,4.029850746,7.44444444,0.254752852,1.134328358,0.321052632,0.6851312,2.803359614,0.252577319,0.412371134,0.335051546,0.076923076,0.092307692,3.509901571,0.10566038,0.24542125,0.03296703,0.21245421,3.719534515,1.226491132,10.10718323,0.08163265,0.35204082,,92.75644172,103.266566,103.0096677,103.4909366,0.28854962,0.6,0.40754717,0.5978836,0.85185185,0.74074074,0.38207547,0.21415094,0.31981132,Zack Greinke,1943,425844
2022,Gerrit Cole,NYY,200.2,3.498339048,5.14,0.20782726,1.016611347,0.268292683,0.78222778,3.466251618,0.169772256,0.424430641,0.405797101,0.076530612,0.168367346,2.774320037,0.14294441,0.32408575,0.0630517,0.26103405,2.773347326,0.03208743,10.8334173,0.09504132,0.39876033,,156.6723793,139.1322433,102.2717604,110.0223411,0.34879032,0.68139535,0.47984117,0.54768786,0.82366325,0.70210057,0.39401344,0.17593158,0.31887599,Gerrit Cole,13125,543037
2020,Lucas Giolito,CHW,72.1,3.483870478,3.46428571,0.182170543,1.036866214,0.254901961,0.69908815,3.191419315,0.2125,0.4125,0.375,0.116666666,0.133333333,3.353127623,0.17298188,0.33680556,0.09722222,0.23958333,3.513195741,0.292451162,10.94599005,0.05590062,0.34782609,,103.6205212,107.0800495,102.2,103.7692498,0.31222386,0.75140187,0.50576606,0.49056604,0.74626866,0.65798046,0.44069193,0.14415157,0.31713344,Lucas Giolito,15474,608337
2019,Dinelson Lamet,SDP,73,4.068493151,3.5,0.223021583,1.260273973,0.310559006,0.73566085,3.912639613,0.273809523,0.363095238,0.363095238,0.114754098,0.196721311,3.437866446,0.14030819,0.33546326,0.09584665,0.23961661,3.607381164,0.155853538,8.901526818,0.07514451,0.34104046,,,,,,0.31481481,0.65348399,0.46066504,0.44343891,0.85590778,0.69542254,0.43065693,0.17680454,0.31711273,Dinelson Lamet,17186,659275
2020,Zac Gallen,ARI,72,2.75,3.28,0.208333333,1.111111111,0.265895954,0.83573487,3.663641538,0.216666666,0.455555555,0.327777777,0.101694915,0.152542372,3.618761272,0.12085944,0.28178694,0.08591065,0.19587629,3.879108565,-0.913641538,10.49466698,0.07142857,0.32417582,,113.4754587,101.7322581,105.9329749,104.8854839,0.32618026,0.60047847,0.42882722,0.5745614,0.84860558,0.71816284,0.37421665,0.19516562,0.31602507,Zac Gallen,19291,668678
2019,Charlie Morton,TBR,194.2,3.051369783,4.21052632,0.213592233,1.083904081,0.298283262,0.75247525,2.813324555,0.217118997,0.482254697,0.300626304,0.111111111,0.104166666,3.283079578,0.12934055,0.30379747,0.0721519,0.23164557,3.544390066,0.238045229,7.266000079,0.04781705,0.32848233,,,,,,0.33468677,0.64144272,0.47291268,0.55459272,0.83572216,0.72641509,0.45060548,0.18668366,0.31602421,Charlie Morton,4676,450203
2019,Lucas Giolito,CHW,176.2,3.413207449,4,0.203416149,1.064150913,0.272959184,0.77651515,3.434764186,0.212560386,0.359903381,0.427536231,0.146892655,0.13559322,3.661685545,0.15031983,0.32340426,0.08085106,0.24255319,3.566687232,-0.021556737,10.8941712,0.07932692,0.34615385,,,,,,0.31897712,0.69051205,0.49431414,0.5464135,0.77317339,0.69590223,0.47192608,0.16560057,0.3159204,Lucas Giolito,15474,608337
2021,Max Scherzer,- - -,179.1,2.459107876,6.55555556,0.183925811,0.864312292,0.24742268,0.84337349,2.974866831,0.182266009,0.334975369,0.48275862,0.096938775,0.117346938,3.235916895,0.15880893,0.34054834,0.05194805,0.28860029,2.901709906,-0.515758954,9.319316414,0.08029197,0.34306569,,118.4460015,109.742018,103.3347862,104.3742199,0.33688833,0.7196414,0.5033676,0.51582868,0.78708947,0.68450704,0.43495214,0.15703651,0.31584544,Max Scherzer,3137,453286
2022,Shohei Ohtani,LAA,166,2.331325301,4.97727273,0.201954397,1.012048193,0.288713911,0.83111702,2.401587628,0.197969543,0.418781725,0.38324873,0.119205298,0.092715231,2.65180317,0.1494865,0.33181818,0.06666667,0.26515152,2.733152753,-0.070262327,8.599148296,0.06329114,0.33164557,,110.2118384,128.8115135,98.0117804,107.1784598,0.32648871,0.68835616,0.48725751,0.48218029,0.81840796,0.69320843,0.44427539,0.1662229,0.3157094,Shohei Ohtani,19755,660271
